"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
0,0.555269069894907,0.151,0.102,0,"SYS1"
0,0.424791143276867,0.181,0.132,0,"PTRHD1"
0,0.589120004214196,0.182,0.133,0,"TMEM37"
0,0.501785667558627,0.189,0.14,0,"LSM1"
0,0.769319657768454,0.143,0.094,0,"SPX"
0,0.350825180497603,0.8,0.752,0,"S100A6"
0,0.401477472678289,0.168,0.12,0,"JAGN1"
0,0.510764151090292,0.168,0.12,0,"ILVBL"
0,0.419219593896912,0.179,0.131,0,"IER3"
0,0.407148741622962,0.169,0.122,0,"SELENBP1"
0,0.581115298281227,0.191,0.144,0,"SESN3"
0,0.509458504565239,0.168,0.121,0,"CLN3"
0,0.512491044407672,0.164,0.117,0,"SEMA4D"
0,0.782570084705836,0.13,0.083,0,"C19orf33"
0,1.08476398677676,0.105,0.058,0,"PALM3"
0,0.520119508054373,0.181,0.134,0,"IFT22"
0,0.560000277465767,0.124,0.078,0,"SPNS2"
0,0.919853254230619,0.104,0.058,0,"GAL3ST1"
0,0.299320062424314,0.133,0.088,0,"SLC6A13"
0,1.06702845410609,0.124,0.079,0,"RBP7"
0,0.778663147162311,0.119,0.074,0,"TMEM54"
0,0.77079075093012,0.112,0.067,0,"FLRT3"
0,0.506413917188475,0.142,0.097,0,"CRNDE"
0,0.51096555138511,0.139,0.095,0,"FURIN"
0,0.545144838014473,0.147,0.103,0,"ELF3"
0,0.608602000450329,0.112,0.068,0,"PRADC1"
0,0.40447721458086,0.118,0.074,0,"GPR155"
0,0.610822316068438,0.111,0.067,0,"CDH2"
0,0.35899276880265,0.142,0.098,0,"CLCN7"
0,0.750789491844735,0.137,0.094,0,"CDKL2"
0,0.654417918860773,0.113,0.07,0,"AMACR"
0,0.906989484125523,0.124,0.081,0,"EHF"
0,0.572269288916223,0.147,0.104,0,"ZGPAT"
0,0.674230437237338,0.137,0.096,0,"DEAF1"
0,0.413374455860836,0.137,0.096,0,"ORMDL2"
0,0.64567310242562,0.128,0.087,0,"TGIF1"
0,0.738295683079161,0.109,0.068,0,"SLC1A1"
0,1.12588478410239,0.111,0.07,0,"ELF5"
0,0.680423617129258,0.127,0.087,0,"DEGS2"
0,0.831317630157813,0.107,0.067,0,"RHOD"
0,0.987701484766863,0.127,0.088,0,"MT1H"
0,0.794988454465149,0.11,0.071,0,"EPS8L1"
0,0.923796312025272,0.122,0.083,0,"LINC00882"
0,0.803538572159749,0.118,0.079,0,"ARHGEF35"
0,0.305901319101234,0.873,0.857,0,"ITM2B"
0,0.265913118889393,0.999,0.999,0,"MT-CYB"
1.81510137291814e-65,-0.929138224848848,0.321,0.419,5.1398225576923e-61,"PTPRG"
9.10593781537856e-65,-0.635490535707464,0.13,0.219,2.57852841118075e-60,"SLC8A1"
5.68210569109249e-54,-0.718256174732797,0.224,0.317,1.60900186854666e-49,"GPHN"
1.20614022551508e-53,-1.07041188432011,0.119,0.194,3.41542727659104e-49,"TMEM52B"
1.55495524331448e-52,-0.6762655881495,0.249,0.341,4.40316676249362e-48,"NR3C2"
2.54343656235945e-52,-1.07107592904444,0.24,0.329,7.20224931363326e-48,"ERBB4"
1.37752519307813e-49,-0.844874054235202,0.185,0.27,3.90073808923934e-45,"PRKG1"
6.17258494396461e-48,-1.09684037738941,0.125,0.198,1.74789087858246e-43,"DACH1"
6.44716610264601e-48,-1.02417026149643,0.069,0.127,1.82564402528627e-43,"SAMD11"
5.4604813992237e-43,-1.31438724869209,0.121,0.189,1.54624451781817e-38,"KCNIP4"
1.30719128530608e-41,-0.953207894492393,0.138,0.207,3.70157356260123e-37,"EFNA5"
2.96597997756063e-41,-0.586867013625849,0.336,0.415,8.39876550245845e-37,"FOXP1"
1.06813580317236e-40,-0.981808032912813,0.11,0.173,3.02464015384316e-36,"PDE10A"
4.51495248604312e-40,-0.899819233016712,0.156,0.225,1.27849909547283e-35,"RCAN2"
6.41236159895972e-40,-0.802368857270486,0.205,0.278,1.81578843397742e-35,"ADGRF5"
4.57192844329784e-39,-0.659027799434044,0.359,0.43,1.29463297728865e-34,"MEF2A"
1.2170117553355e-38,-1.14161613220045,0.094,0.152,3.44621218758354e-34,"GPC5"
2.25921044835469e-38,-0.840299945918262,0.173,0.242,6.39740622660597e-34,"MEF2C"
3.38169824211057e-38,-1.23453360640018,0.067,0.117,9.57595491218451e-34,"UTY"
1.23336014412632e-37,-0.852264709042807,0.14,0.205,3.4925059201225e-33,"ZSWIM6"
2.90301237754934e-36,-0.635134909705132,0.11,0.172,8.22046014950647e-32,"CALB1"
3.89845999328956e-36,-0.673780318965513,0.148,0.216,1.1039269162998e-31,"MAML3"
5.89414068494177e-36,-0.976862678533612,0.083,0.136,1.66904381775496e-31,"GPRIN3"
2.48102469807459e-33,-1.11231525051426,0.083,0.134,7.02551763753781e-29,"TTTY14"
3.38042938378052e-33,-0.582815262429816,0.209,0.278,9.5723618860513e-29,"ATXN1"
6.22678696938407e-33,-1.11481837035836,0.073,0.121,1.76323926612049e-28,"SLCO2A1"
2.97353679900274e-31,-0.986326003746993,0.07,0.116,8.42016415373606e-27,"AC138305.1"
4.10317143079313e-31,-0.82028247755587,0.083,0.133,1.16189505405769e-26,"GPC6"
8.67501426837899e-31,-0.87156578332499,0.128,0.184,2.45650379037688e-26,"ARHGEF3"
2.12977575252658e-30,-0.832385184651408,0.1,0.153,6.03088599842952e-26,"TMEM117"
6.2705428684284e-30,-0.532828161906079,0.199,0.266,1.77562962405287e-25,"PRKN"
1.0429302943605e-29,-0.849612542542127,0.088,0.137,2.95326571454063e-25,"CACNB2"
1.97197415931738e-29,-1.01855270709568,0.07,0.114,5.58403922693904e-25,"FKBP5"
2.62710903456963e-29,-0.837562963127564,0.105,0.157,7.43918465319083e-25,"ATP6V0D2"
3.28161404648224e-29,-0.805752029682891,0.187,0.246,9.29254649542377e-25,"RASAL2"
1.15572028002775e-28,-0.69152385696243,0.177,0.238,3.27265311695458e-24,"EXT1"
2.12904852411339e-28,-0.819248938228202,0.131,0.185,6.02882670573188e-24,"FCHSD2"
4.59240413610354e-28,-0.867979799323698,0.119,0.172,1.30043107922044e-23,"RIMKLB"
1.02054604760105e-27,-0.300849443664351,0.654,0.692,2.88988024299189e-23,"DDX17"
2.11918217012916e-27,-0.507677954240541,0.263,0.326,6.00088815115476e-23,"TCF12"
2.1647254310999e-27,-0.301917157556991,0.641,0.681,6.12985300324558e-23,"HNRNPH1"
2.68330866546637e-27,-0.690573626908076,0.22,0.278,7.59832514800112e-23,"LENG8"
1.2356561624908e-26,-0.681405050554631,0.153,0.209,3.4990075553252e-22,"VTI1A"
2.37931527634388e-26,-0.431445937429159,0.375,0.432,6.73750706802298e-22,"ARID1B"
3.32158103686104e-26,-0.567178384647306,0.252,0.31,9.4057210220794e-22,"SBF2"
3.39249676425334e-26,-0.853487546439734,0.173,0.229,9.60653308733619e-22,"ARHGAP6"
4.88411364026685e-26,-0.694602834024044,0.15,0.204,1.38303445951436e-21,"DPYD"
6.47602257395382e-26,-0.963130775115098,0.091,0.136,1.8338153122665e-21,"SLIT2"
6.49368328233956e-26,-0.600063904086254,0.346,0.401,1.83881629506009e-21,"WNK1"
1.33207944030157e-25,-1.28802944177298,0.063,0.102,3.77204935110196e-21,"RACGAP1"
2.05840775956841e-25,-0.429152692170951,0.426,0.477,5.82879325276987e-21,"LPP"
2.71578673739962e-25,-0.494008612260557,0.37,0.422,7.6902933042945e-21,"MSI2"
2.83060827662935e-25,-0.827158354443839,0.157,0.209,8.01543345693134e-21,"RBMS3"
2.85238180565173e-25,-0.942161083506199,0.094,0.139,8.07708955906399e-21,"NHS"
4.35126840294967e-25,-1.19575996232389,0.066,0.105,1.23214867366326e-20,"ST6GALNAC3"
5.0686948468188e-25,-0.842776912630234,0.114,0.162,1.43530231977368e-20,"INPP4B"
5.09615395294415e-25,-0.678438674914296,0.195,0.251,1.4430779148552e-20,"COL6A1"
6.39807619553301e-25,-0.761783788821172,0.105,0.152,1.81174323628908e-20,"PIP4K2A"
6.59549553371445e-25,-0.451069208573482,0.382,0.437,1.86764647028192e-20,"MBNL1"
8.63425671288686e-25,-0.635293995803408,0.319,0.37,2.44496247338817e-20,"CA12"
1.43383763266792e-24,-0.921267517981755,0.139,0.188,4.06019802442575e-20,"TMTC1"
1.58716924759838e-24,-0.847440959540502,0.087,0.131,4.49438715842433e-20,"GHR"
1.69687275526772e-24,-0.859808323800516,0.141,0.191,4.8050345810916e-20,"TSC22D2"
1.89735748704905e-24,-0.614405360201975,0.061,0.1,5.37274719607681e-20,"DAB1"
2.49844085654106e-24,-0.997067985904039,0.114,0.16,7.07483497346732e-20,"ZEB1"
3.03023035495125e-24,-0.804744038596281,0.15,0.201,8.58070329611545e-20,"DOCK4"
4.43656460721711e-24,-0.515422717738782,0.329,0.383,1.25630199982567e-19,"GNAQ"
5.46181878810128e-24,-0.419093090026471,0.29,0.35,1.54662322622664e-19,"BAZ2B"
6.53588219684179e-24,-0.464692245938484,0.185,0.241,1.85076576167969e-19,"ZCCHC7"
7.27829748428841e-24,-0.659694101942833,0.233,0.289,2.06099549862595e-19,"SORBS2"
1.16287117009203e-23,-0.364331699829506,0.407,0.464,3.29290229234959e-19,"FTX"
1.18151699064907e-23,-0.779909884307923,0.169,0.222,3.34570166242096e-19,"MEIS2"
1.76953096875115e-23,-0.524297481414173,0.125,0.175,5.01078084421264e-19,"GPCPD1"
1.81438293194925e-23,-0.743082281380085,0.101,0.146,5.13778814840069e-19,"ZEB2"
2.78852274997489e-23,-0.401041486431108,0.451,0.5,7.8962598711039e-19,"CTNNB1"
